time,open,high,low,close,volume,day
2026-08-04 18:15:00,14411.0,14421.0,14404.0,14405.0,2679.0,2026-08-04
2026-08-04 18:30:00,14405.0,14408.0,14393.0,14400.0,2519.0,2026-08-04
2026-08-04 18:45:00,14400.0,14440.0,14400.0,14421.0,8229.0,2026-08-04
2026-08-04 19:00:00,14423.0,14434.0,14420.0,14423.0,3841.0,2026-08-04
2026-08-04 19:15:00,14423.0,14440.0,14417.0,14421.0,3350.0,2026-08-04
2026-08-04 19:30:00,14421.0,14435.0,14420.0,14433.0,2741.0,2026-08-04
2026-08-04 19:45:00,14430.0,14435.0,14416.0,14423.0,2231.0,2026-08-04
2026-08-04 20:00:00,14423.0,14430.0,14410.0,14420.0,3081.0,2026-08-04
2026-08-04 20:15:00,14420.0,14428.0,14416.0,14418.0,2583.0,2026-08-04
2026-08-04 20:30:00,14418.0,14424.0,14413.0,14422.0,852.0,2026-08-04
2026-08-04 20:45:00,14422.0,14423.0,14407.0,14413.0,1210.0,2026-08-04
2026-08-04 21:00:00,14413.0,14427.0,14408.0,14423.0,1319.0,2026-08-04
2026-08-04 21:15:00,14423.0,14429.0,14420.0,14426.0,1377.0,2026-08-04
2026-08-04 21:30:00,14426.0,14427.0,14415.0,14421.0,694.0,2026-08-04
2026-08-04 21:45:00,14421.0,14428.0,14415.0,14427.0,1093.0,2026-08-04
2026-08-04 22:00:00,14427.0,14427.0,14417.0,14426.0,1025.0,2026-08-04
2026-08-04 22:15:00,14426.0,14430.0,14423.0,14427.0,1324.0,2026-08-04
2026-08-04 22:30:00,14427.0,14445.0,14425.0,14435.0,4296.0,2026-08-04
2026-08-04 22:45:00,14435.0,14438.0,14432.0,14434.0,2349.0,2026-08-04
2026-08-04 23:00:00,14434.0,14435.0,14425.0,14435.0,3477.0,2026-08-04
2026-08-04 23:15:00,14435.0,14435.0,14416.0,14418.0,4365.0,2026-08-04
2026-08-05 09:00:00,14448.0,14525.0,14448.0,14487.0,8338.0,2026-08-05
2026-08-05 09:15:00,14487.0,14500.0,14484.0,14497.0,4713.0,2026-08-05
2026-08-05 09:30:00,14497.0,14520.0,14495.0,14512.0,4350.0,2026-08-05
2026-08-05 09:45:00,14512.0,14520.0,14508.0,14510.0,2319.0,2026-08-05
2026-08-05 10:00:00,14512.0,14514.0,14505.0,14507.0,1915.0,2026-08-05
2026-08-05 10:15:00,14507.0,14515.0,14505.0,14513.0,1581.0,2026-08-05
2026-08-05 10:30:00,14513.0,14520.0,14511.0,14518.0,1494.0,2026-08-05
2026-08-05 10:45:00,14518.0,14524.0,14515.0,14520.0,3375.0,2026-08-05
2026-08-05 11:00:00,14520.0,14575.0,14520.0,14575.0,8655.0,2026-08-05
2026-08-05 11:15:00,14575.0,14599.0,14570.0,14573.0,9339.0,2026-08-05
2026-08-05 11:30:00,14573.0,14596.0,14560.0,14594.0,4228.0,2026-08-05
2026-08-05 11:45:00,14594.0,14598.0,14575.0,14597.0,3304.0,2026-08-05
2026-08-05 12:00:00,14597.0,14623.0,14591.0,14615.0,8278.0,2026-08-05
2026-08-05 12:15:00,14615.0,14616.0,14605.0,14610.0,1913.0,2026-08-05
2026-08-05 12:30:00,14611.0,14615.0,14589.0,14595.0,3331.0,2026-08-05
2026-08-05 12:45:00,14595.0,14602.0,14584.0,14584.0,2160.0,2026-08-05
2026-08-05 13:00:00,14584.0,14594.0,14580.0,14590.0,1769.0,2026-08-05
2026-08-05 13:15:00,14590.0,14601.0,14584.0,14600.0,1674.0,2026-08-05
2026-08-05 13:30:00,14600.0,14605.0,14592.0,14592.0,1591.0,2026-08-05
2026-08-05 13:45:00,14592.0,14594.0,14581.0,14584.0,1045.0,2026-08-05
2026-08-05 14:00:00,14584.0,14597.0,14581.0,14593.0,1649.0,2026-08-05
2026-08-05 14:15:00,14593.0,14597.0,14581.0,14585.0,1256.0,2026-08-05
2026-08-05 14:30:00,14585.0,14597.0,14584.0,14586.0,1592.0,2026-08-05
2026-08-05 14:45:00,14587.0,14589.0,14572.0,14578.0,1343.0,2026-08-05
2026-08-05 15:00:00,14575.0,14584.0,14570.0,14581.0,1883.0,2026-08-05
2026-08-05 15:15:00,14581.0,14589.0,14579.0,14585.0,1791.0,2026-08-05
2026-08-05 15:30:00,14585.0,14587.0,14550.0,14551.0,3871.0,2026-08-05
2026-08-05 15:45:00,14551.0,14577.0,14550.0,14571.0,3688.0,2026-08-05
2026-08-05 16:00:00,14571.0,14583.0,14567.0,14572.0,1773.0,2026-08-05
2026-08-05 16:15:00,14572.0,14592.0,14567.0,14591.0,1707.0,2026-08-05
2026-08-05 16:30:00,14590.0,14610.0,14588.0,14608.0,3385.0,2026-08-05
2026-08-05 16:45:00,14608.0,14618.0,14598.0,14612.0,2938.0,2026-08-05
2026-08-05 17:00:00,14612.0,14640.0,14609.0,14631.0,6862.0,2026-08-05
2026-08-05 17:15:00,14631.0,14649.0,14627.0,14640.0,5457.0,2026-08-05
2026-08-05 17:30:00,14640.0,14660.0,14640.0,14650.0,5497.0,2026-08-05
2026-08-05 17:45:00,14650.0,14692.0,14650.0,14665.0,9874.0,2026-08-05
2026-08-05 18:00:00,14665.0,14676.0,14643.0,14650.0,9322.0,2026-08-05
2026-08-05 18:15:00,14650.0,14654.0,14630.0,14630.0,5409.0,2026-08-05
2026-08-05 18:30:00,14631.0,14659.0,14631.0,14646.0,4805.0,2026-08-05
2026-08-05 18:45:00,14646.0,14663.0,14642.0,14663.0,2804.0,2026-08-05
2026-08-05 19:00:00,14663.0,14670.0,14645.0,14660.0,4355.0,2026-08-05
2026-08-05 19:15:00,14660.0,14674.0,14643.0,14673.0,3128.0,2026-08-05
2026-08-05 19:30:00,14670.0,14735.0,14668.0,14727.0,16968.0,2026-08-05
2026-08-05 19:45:00,14727.0,14754.0,14718.0,14743.0,13059.0,2026-08-05
2026-08-05 20:00:00,14743.0,14750.0,14722.0,14748.0,6141.0,2026-08-05
2026-08-05 20:15:00,14748.0,14774.0,14733.0,14750.0,8354.0,2026-08-05
2026-08-05 20:30:00,14750.0,14792.0,14748.0,14789.0,9369.0,2026-08-05
2026-08-05 20:45:00,14789.0,14803.0,14771.0,14781.0,6421.0,2026-08-05
